"time","Pack Voltage"
"1127.715","292"
"1128.228","292"
"1128.741","292.2"
"1134.394","292.2"
"1134.907","292.5"
"1135.42","292.2"
"1139.524","292.2"
"1140.037","292.5"
"1140.55","292.2"
"1146.193","292.2"
"1146.706","292.5"
"1147.219","292.2"
"1154.401","292.2"
"1154.914","292.5"
"1155.427","292.5"
"1155.94","292.2"
"1160.044","292.2"
"1160.557","292.5"
"1162.609","292.5"
"1163.122","292.2"
"1163.635","292.2"
"1164.148","292.5"
"1164.661","292.2"
"1165.687","292.2"
"1166.2","292.5"
"1166.713","292.2"
"1167.739","292.2"
"1168.252","292.5"
"1168.765","292.2"
"1169.278","292.5"
"1169.791","292.5"
"1170.304","292.2"
"1170.817","292.5"
"1171.33","292.2"
"1171.843","292.5"
"1172.356","292.2"
"1172.869","292.5"
"1174.921","292.5"
"1175.434","292.2"
"1176.46","292.2"
"1176.973","292.5"
"1179.025","292.5"
"1179.538","292.2"
"1180.051","292.5"
"1183.129","292.5"
"1183.642","292.2"
"1184.155","292.5"
"1198.006","292.5"
"1198.519","292.2"
"1199.032","292.5"
"1262.649","292.5"
"1263.162","292.6"
"1263.675","292.5"
"1275.987","292.5"
"1276.5","292.6"
"1277.013","292.5"
"1278.552","292.5"
"1279.065","292.6"
"1279.578","292.5"
"1286.247","292.5"
"1286.76","292.6"
"1287.273","292.6"
"1287.786","292.5"
"1289.838","292.5"
"1290.351","292.6"
"1290.864","292.5"
"1291.89","292.5"
"1292.403","292.6"
"1292.916","292.5"
"1293.429","292.6"
"1293.942","292.5"
"1294.455","292.5"
"1294.968","292.6"
"1295.481","292.5"
"1295.994","292.5"
"1296.507","292.6"
"1297.02","292.5"
"1298.559","292.5"
"1299.072","292.6"
"1299.585","292.5"
"1300.098","292.6"
"1300.611","292.5"
"1303.176","292.5"
"1303.689","292.6"
"1304.715","292.6"
"1305.228","292.5"
"1305.741","292.5"
"1306.254","292.6"
"1306.767","292.6"
"1307.28","292.5"
"1307.793","292.6"
"1309.332","292.6"
"1309.845","292.5"
"1310.358","292.5"
"1310.871","292.6"
"1311.384","292.5"
"1311.897","292.6"
"1313.949","292.6"
"1314.462","292.5"
"1314.975","292.6"
"1316.001","292.6"
"1316.514","292.5"
"1317.027","292.6"
"1317.54","292.6"
"1318.053","292.5"
"1318.566","292.5"
"1319.079","292.6"
"1319.592","292.5"
"1320.105","292.5"
"1320.618","292.6"
"1321.131","292.5"
"1321.644","292.6"
"1322.157","292.6"
"1322.67","292.5"
"1323.183","292.6"
"1324.722","292.6"
"1325.235","292.5"
"1325.748","292.5"
"1326.261","292.6"
"1327.8","292.6"
"1328.313","292.5"
"1328.826","292.6"
"1329.852","292.6"
"1330.365","292.5"
"1330.878","292.6"
"1331.904","292.6"
"1332.417","292.5"
"1332.93","292.5"
"1333.443","292.6"
"1334.982","292.6"
"1335.495","292.5"
"1336.008","292.6"
"1336.521","292.6"
"1337.034","292.5"
"1337.547","292.6"
"1341.651","292.6"
"1342.164","292.5"
"1342.677","292.6"
"1343.19","292.5"
"1343.703","292.5"
"1344.216","292.6"
"1345.242","292.6"
"1345.755","292.5"
"1346.268","292.6"
"1346.781","292.5"
"1347.294","292.6"
"1347.807","292.5"
"1348.32","292.6"
"1350.372","292.6"
"1350.885","292.5"
"1351.398","292.6"
"1352.937","292.6"
"1353.45","292.5"
"1353.963","292.5"
"1354.476","292.6"
"1373.97","292.6"
"1374.483","292.5"
"1374.996","292.6"
"1375.509","292.6"
"1376.022","292.5"
"1376.535","292.6"
"1383.717","292.6"
"1384.23","292.5"
"1384.743","292.6"
"1464.258","292.6"
"1464.771","292.9"
"1465.284","292.6"
"1529.922","292.6"
"1530.435","292.9"
"1530.948","292.6"
"1543.773","292.6"
"1544.286","292.9"
"1544.799","292.6"
"1550.955","292.6"
"1551.468","292.9"
"1551.981","292.6"
"1552.494","292.9"
"1553.007","292.6"
"1554.033","292.6"
"1554.546","292.9"
"1555.059","292.6"
"1557.111","292.6"
"1557.624","292.9"
"1558.137","292.6"
"1561.728","292.6"
"1562.241","292.9"
"1562.754","292.6"
"1564.293","292.6"
"1564.806","292.9"
"1565.319","292.6"
"1575.066","292.6"
"1575.579","292.9"
"1576.092","292.6"
"1577.118","292.6"
"1577.631","292.9"
"1578.144","292.6"
"1583.787","292.6"
"1584.3","292.9"
"1584.813","292.6"
"1590.456","292.6"
"1590.969","292.9"
"1591.482","292.6"
"1594.56","292.6"
"1595.073","292.9"
"1595.586","292.6"
"1596.099","292.6"
"1596.612","292.9"
"1597.125","292.9"
"1597.638","292.6"
"1599.69","292.6"
"1600.203","292.9"
"1600.716","292.6"
"1603.281","292.6"
"1603.794","292.9"
"1604.307","292.6"
"1604.82","292.6"
"1605.333","292.9"
"1605.846","292.6"
"1609.437","292.6"
"1609.95","292.9"
"1610.463","292.6"
"1610.976","292.9"
"1611.489","292.6"
"1614.054","292.6"
"1614.567","292.9"
"1615.08","292.6"
"1615.593","292.6"
"1616.106","292.9"
"1616.619","292.6"
"1625.34","292.6"
"1625.853","292.9"
"1626.366","292.6"
"1628.418","292.6"
"1628.931","292.9"
"1629.957","292.9"
"1630.47","292.6"
"1635.087","292.6"
"1635.6","292.9"
"1636.113","292.9"
"1636.626","292.6"
"1637.139","292.9"
"1637.652","292.6"
"1638.165","292.9"
"1638.678","292.6"
"1639.191","292.9"
"1639.704","292.6"
"1643.808","292.6"
"1644.321","292.9"
"1644.834","292.6"
"1645.347","292.9"
"1645.86","292.6"
"1646.373","292.9"
"1646.886","292.6"
"1647.399","292.6"
"1647.912","292.9"
"1648.425","292.6"
"1654.068","292.6"
"1654.581","292.9"
"1655.094","292.6"
"1656.633","292.6"
"1657.146","292.9"
"1657.659","292.6"
"1658.172","292.9"
"1658.685","292.6"
"1659.198","292.6"
"1659.711","292.9"
"1660.224","292.9"
"1660.737","292.6"
"1661.25","292.6"
"1661.763","292.9"
"1662.276","292.6"
"1663.302","292.6"
"1663.815","292.9"
"1664.328","292.6"
"1665.354","292.6"
"1665.867","292.9"
"1666.38","292.6"
"1666.893","292.9"
"1667.406","292.6"
"1667.919","292.9"
"1668.432","292.6"
"1668.945","292.9"
"1669.458","292.6"
"1669.971","292.9"
"1670.484","292.6"
"1671.51","292.6"
"1672.023","292.9"
"1672.536","292.9"
"1673.049","292.6"
"1673.562","292.6"
"1674.075","292.9"
"1674.588","292.6"
"1676.64","292.6"
"1677.153","292.9"
"1677.666","292.6"
"1678.179","292.9"
"1678.692","292.6"
"1681.257","292.6"
"1681.77","292.9"
"1682.283","292.9"
"1682.796","292.6"
"1685.361","292.6"
"1685.874","292.9"
"1687.413","292.9"
"1687.926","292.6"
"1688.439","292.9"
"1688.952","292.6"
"1689.978","292.6"
"1690.491","292.9"
"1691.004","292.6"
"1691.517","292.6"
"1692.03","292.9"
"1694.082","292.9"
"1694.595","292.6"
"1696.647","292.6"
"1697.16","292.9"
"1697.673","292.6"
"1699.725","292.6"
"1700.238","292.9"
"1700.751","292.9"
"1701.264","292.6"
"1702.29","292.6"
"1702.803","292.9"
"1703.829","292.9"
"1704.342","292.6"
"1705.368","292.6"
"1705.881","292.9"
"1706.394","292.9"
"1706.907","292.6"
"1707.42","292.9"
"1707.933","292.6"
"1708.446","292.6"
"1708.959","292.9"
"1709.472","292.6"
"1709.985","292.6"
"1710.498","292.9"
"1711.011","292.6"
"1711.524","292.6"
"1712.037","292.9"
"1712.55","292.6"
"1713.063","292.6"
"1713.576","292.9"
"1714.089","292.9"
"1714.602","292.6"
"1715.115","292.9"
"1715.628","292.6"
"1716.141","292.9"
"1716.654","292.9"
"1717.167","292.6"
"1717.68","292.9"
"1719.219","292.9"
"1719.732","292.6"
"1720.245","292.9"
"1720.758","292.6"
"1721.271","292.6"
"1721.784","292.9"
"1722.297","292.6"
"1722.81","292.9"
"1725.375","292.9"
"1725.888","292.6"
"1726.914","292.6"
"1727.427","292.9"
"1727.94","292.6"
"1728.966","292.6"
"1729.479","292.9"
"1729.992","292.9"
"1730.505","292.6"
"1731.018","292.9"
"1731.531","292.6"
"1732.557","292.6"
"1733.07","292.9"
"1733.583","292.6"
"1734.096","292.6"
"1734.609","292.9"
"1735.635","292.9"
"1736.148","292.6"
"1736.661","292.6"
